pm_ret,pm_vol,A,A_tp,B,B_tp,C,C_tp,D,D_tp
-5.825242718446607,145146.0,17.187500000000007,True,,,,,-7.407407407407414,True
0.2352459854761142,51096.05646800001,13.917525773195877,True,13.917525773195877,True,13.917525773195877,True,7.281553398058247,True
-7.497303128371093,56070.0,8.552631578947366,True,,,,,6.295754026354315,True
-2.30414746543778,92555.0,-3.3018867924528434,True,,,-3.3018867924528434,True,-9.492273730684339,False
1.2996389891696762,30434.0,-2.4822695035460938,False,-2.4822695035460938,False,-2.4822695035460938,False,-2.2986463921554767,False
-1.3500967117988367,10387.0,-4.085603112840467,False,,,-4.085603112840467,False,-6.273764258555135,False
2.4928092042185983,29222.262617,1.2183692596063804,False,1.2183692596063804,False,1.2183692596063804,False,3.3492822966507316,False
-1.9417475728155356,1892403.0,-10.669902912621358,False,,,-10.669902912621358,False,-1.908315565031974,True
-8.826086956521745,442023.0,2.503576537911304,True,,,,,-4.147157190635452,False
-6.5989847715735985,25180.0,16.574585635359107,True,,,,,18.545985729535357,True
-8.43373493975903,204362.0,1.3698630136986314,False,,,,,2.7777777777777803,False
0.5917159763313614,9545.0,7.090909090909091,False,7.090909090909091,False,7.090909090909091,False,4.866468842729961,False
176.19047619047618,48634278.0,-48.78048780487806,True,-48.78048780487806,True,-48.78048780487806,True,,False
-12.971153846153848,279071.0,-0.8777777777777798,False,,,,,-1.9670329670329698,False
-16.584615384615383,8850485.0,26.8525311812179,True,,,,,8.02874101843174,True
-19.20134353424147,628377.0,-1.0681818181818141,False,,,,,-4.977079240340534,False
-3.2520325203252063,13123478.0,15.3846153846154,True,,,15.3846153846154,True,13.445378151260517,True
-9.057547956630527,225909.0,-9.916437098255281,False,,,,,-5.853166986564296,True
-1.209677419354831,353007.0,-9.677419354838701,False,,,-9.677419354838701,False,1.185770750988147,True
-6.334841628959281,67826.0,7.389162561576374,True,,,,,0.0,False
5.759162303664927,104930.0,-0.49253731343281476,False,-0.49253731343281476,False,-0.49253731343281476,False,6.9572192513369036,True
40.861111111111114,7623305.0,262.7450980392157,True,262.7450980392157,True,262.7450980392157,True,156.94444444444446,True
-5.784194528875384,99006.0,10.645161290322584,True,,,,,13.953488372093037,True
0.6426440211154522,159626.0,0.9501738122827329,False,0.9501738122827329,False,0.9501738122827329,False,1.656942823803966,False
-14.462809917355376,55129.0,8.17307692307692,True,,,,,-0.44247787610618533,True
-9.845559845559842,29135.0,11.693548387096776,True,,,,,,False
-6.896551724137918,1400221.0,6.422018348623839,True,,,,,-1.6949152542372898,True
6.535947712418292,7280.0,-8.4375,False,-8.4375,False,-8.4375,False,-9.287925696594423,False
2.3374811024537747,91396.0,-2.413793103448278,False,-2.413793103448278,False,-2.413793103448278,False,-3.0046841083057227,False
0.19762845849803706,39834.0,-14.258555133079847,True,-14.258555133079847,True,-14.258555133079847,True,-17.095588235294127,False
-8.496732026143784,20919.0,13.603818615751775,True,,,,,0.7407407407407438,False
-0.8333333333333341,776271.0,6.134355725954335,False,,,6.134355725954335,False,10.88470916057123,True
9.473684210526315,26095545.0,12.78422273781902,True,12.78422273781902,True,12.78422273781902,True,-14.192409532215361,True
-20.57588482303539,835814.0,3.5607196401799137,True,,,,,-6.338983050847456,False
57.16568993074055,21542786.0,-32.34576271186441,False,-32.34576271186441,False,-32.34576271186441,False,-24.114068441064635,True
-4.84848484848484,662462.0,35.534591194968534,True,,,35.534591194968534,True,18.03045240442544,True
-17.002176278563656,3101749.0,11.475409836065584,True,,,,,7.902253252935587,True
-11.639271434917815,1463337.0,-15.418076365393915,False,,,,,-13.580246913580257,False
2.6298909557408603,897.0,-7.866955445544555,False,-7.866955445544555,False,-7.866955445544555,False,-6.183364839319466,False
-5.672534806121276,82472.0,4.319548410847958,True,,,,,6.26249999999999,True
-6.762589928057555,14945.120510999997,16.769230769230777,True,,,,,15.966386554621852,True
-3.5805626598465508,122528.0,1.0309278350515474,False,,,1.0309278350515474,False,19.87767584097859,True
-6.601466992665038,67923.0,4.134366925064603,False,,,,,0.24875621890548946,False
-1.2987012987012998,17007.0,29.22077922077922,True,,,29.22077922077922,True,20.606060606060613,True
-14.822546972860115,1411373.0,-12.230215827338126,False,,,,,-6.584992343032164,False
-11.864406779661014,197533.0,14.062499999999991,True,,,,,11.280487804878053,True
8.333333333333341,1343270.0,-17.006802721088434,False,-17.006802721088434,False,-17.006802721088434,False,-19.47194719471947,False
-5.914285714285718,42825.0,3.030303030303033,True,,,,,2.0000000000000018,True
-4.697986577181212,43261.0,3.7931034482758577,True,,,3.7931034482758577,True,6.737588652482268,True
18.06167400881058,15156391.0,-12.499999999999998,True,-12.499999999999998,True,-12.499999999999998,True,-8.637550161686205,True
0.8438818565400852,187693.0,1.2658227848101182,False,1.2658227848101182,False,1.2658227848101182,False,3.89610389610389,True
-9.169811320754725,217662.0,-41.1682892906815,False,,,,,,False
5.930232558139532,496665.0,-12.904997254255909,False,-12.904997254255909,False,-12.904997254255909,False,-0.4394224733207802,True
-3.4188034188034218,254224.0,8.818181818181815,True,,,8.818181818181815,True,1.4406779661017057,False
-0.4807692307692419,758008.0,15.476190476190462,True,,,15.476190476190462,True,14.149877612502342,True
-4.411764705882357,386264.0,0.0,False,,,0.0,False,4.724409448818902,False
2.3017902813299194,252480.49791799998,-2.2499999999999964,False,-2.2499999999999964,False,-2.2499999999999964,False,0.9032258064516167,False
3.0534351145038197,31502.533176,8.823529411764696,True,8.823529411764696,True,8.823529411764696,True,4.964539007092203,False
-4.203997243280493,54618.329836000004,-11.455331412103757,False,,,-11.455331412103757,False,-7.489649981181791,False
-5.614320585842145,35923.353696,12.307692307692319,True,,,,,7.726993236318924,True
-10.139110604332952,125252.0,17.073170731707325,True,,,,,8.843537414965978,True
2.1377672209026097,3542.0,-0.1161440185830405,False,-0.1161440185830405,False,-0.1161440185830405,False,-1.9943019943020022,False
0.0,0.0,1.3843443241882816,False,1.3843443241882816,False,1.3843443241882816,False,0.0,False
-18.725617685305586,14498340.0,32.314049586776854,True,,,,,6.662225183211179,True
-4.336957880264975,15006.0,9.462499999999999,True,,,9.462499999999999,True,6.792682926829278,True
-10.208955223880599,300740.0,7.161993213073768,True,,,,,1.7121546024749954,True
-8.401869158878512,585216.0,3.5714285714285636,True,,,,,-1.4563106796116625,True
11.199999999999998,31331545.0,2.306559790610175,True,2.306559790610175,True,2.306559790610175,True,13.379260333575049,True
-3.4615384615384728,189822.0,8.906882591093106,False,,,8.906882591093106,False,8.032128514056215,False
-6.659340659340658,1391539.0,2.2500000000000044,False,,,,,4.6279069767441925,False
3.652173913043478,44616.0,-3.34113712374583,False,-3.34113712374583,False,-3.34113712374583,False,-4.617161716171615,False
-8.750000000000007,6413644.0,52.75,True,,,,,36.21019108280256,True
-6.881720430107532,18452.0,-19.630484988452658,True,,,,,-32.302305223227314,True
-8.75216637781629,31289.0,12.598425196850387,True,,,,,0.7929515418502191,False
0.0,6161.0,0.2192982456140434,False,0.2192982456140434,False,0.2192982456140434,False,0.4395604395604432,False
-1.5267175572519098,18079.0,-4.850746268656729,False,,,-4.850746268656729,False,-2.6791847950538226,False
-0.33413461538462663,6085.0,4.773269689737453,True,,,4.773269689737453,True,5.528846153846143,True
-1.7182662538699687,85322.0,-4.133270469904131,False,,,-4.133270469904131,False,-2.4156135018397062,False
-7.72933939556032,189315.0,21.291666666666668,True,,,,,20.638209697472025,True
-10.280373831775709,165663.0,10.106382978723403,True,,,,,1.0051722455352763,False
-4.761904761904753,204352.0,-3.105590062111804,True,,,-3.105590062111804,True,-3.105590062111804,True
0.6666666666666672,158355.98245900002,2.640264026402643,True,2.640264026402643,True,2.640264026402643,True,-5.754719839995157,False
-0.5962059620596152,1187929.0,12.011321422253662,True,,,12.011321422253662,True,11.34165640935467,True
2.3529411764705905,35023.0,5.26315789473683,True,5.26315789473683,True,5.26315789473683,True,3.7037037037036904,False
2.9239766081871372,290612.0,6.285714285714292,True,6.285714285714292,True,6.285714285714292,True,-5.102040816326523,False
5.000000000000011,108925.0,-6.361323155216285,False,-6.361323155216285,False,-6.361323155216285,False,0.2670154215029223,False
-15.822784810126581,178149.0,-2.0000000000000018,True,,,,,-7.328605200945637,True
-18.23140495867769,613042.0,-13.291262135922333,False,,,,,-6.442489000628536,False
