n,mean_%,median_%,win_%,PF,expR_%,MDD_%,전략
68,13.05,-6.37,34.0,2.58,13.05,-89.0,시간청산 D+20
68,4.93,-4.46,40.0,1.84,4.93,-62.0,시간청산 D+10
68,1.9,-3.15,35.0,1.48,1.9,-55.0,트레일 -8(초기-8)
68,1.7,-5.27,31.0,1.37,1.7,-57.0,트레일 -10(초기-8)
68,1.35,-6.28,32.0,1.24,1.35,-64.0,트레일 -12(초기-10)
68,1.11,-3.27,31.0,1.24,1.11,-63.0,시간청산 D+5
68,-0.47,-8.7,35.0,0.91,-0.47,-59.0,브래킷 +15/-8
68,-0.57,-10.7,34.0,0.92,-0.57,-74.0,브래킷 +20/-10
68,-0.7,-5.7,29.0,0.83,-0.7,-53.0,브래킷 +12/-5
68,-1.3,-7.7,43.0,0.7,-1.3,-66.0,브래킷 +8/-7
68,-1.31,-10.7,37.0,0.8,-1.31,-75.0,브래킷 +15/-10
68,-1.45,-7.7,37.0,0.7,-1.45,-71.0,브래킷 +10/-7
68,-2.11,-10.7,43.0,0.65,-2.11,-83.0,브래킷 +10/-10
