종목,시장,판정,폭증,당일%,진입기준가,손절라인,위험%,신호,베이스위치%,상한가추격
삼화네트웍스,KOSDAQ,✅✅ PRIME,69.4,30.0,1950.0,1435.7,26.4,"작은몸통양꼬리양봉, 양봉스프링",15.0,⚠상한가
위더스제약,KOSDAQ,✅✅ PRIME,55.6,-4.5,7800.0,7056.0,9.5,"위꼬리양봉, 꼬리군",35.0,
한신기계,KOSPI,✅✅ PRIME,27.7,2.7,2985.0,2807.7,5.9,작은몸통양꼬리양봉,18.0,
원준,KOSDAQ,✅✅ PRIME,18.1,2.1,7340.0,6958.0,5.2,작은몸통양꼬리양봉,6.0,
주연테크,KOSPI,✅✅ PRIME,15.4,7.0,1411.0,1264.2,10.4,"위꼬리양봉, 양봉스프링",7.0,
하이스틸,KOSPI,✅✅ PRIME,12.0,-1.6,3460.0,3096.8,10.5,"작은몸통양꼬리양봉, 꼬리군",26.0,
부국철강,KOSPI,✅✅ PRIME,6.6,7.8,2580.0,2175.6,15.7,상승펀치,47.0,
아주스틸,KOSPI,✅✅ PRIME,5.1,-6.8,2270.0,2097.2,7.6,작은몸통양꼬리양봉,2.0,
한울소재과학,KOSDAQ,✅✅ PRIME,4.7,5.3,2205.0,1929.6,12.5,작은몸통양꼬리양봉,5.0,
동국S&C,KOSDAQ,✅✅ PRIME,3.8,-7.9,1710.0,1576.8,7.8,위꼬리양봉,14.0,
제이아이테크,KOSDAQ,✅✅ PRIME,3.6,11.6,3805.0,3390.8,10.9,"작은몸통양꼬리양봉, 상승펀치",33.0,
