ticker,c,oc_%,vol_ratio,dol_M,dol_avg10_M,dol_x,run2d_%,close_pos,매수참고,손절,익절목표
QUCY,1.63,-10.4,34.4,107.2,8.1,13.2,10.9,0.26,1.63,1.484,1.793
ZDAI,2.25,-8.2,2400.3,53.8,0.1,803.2,0.4,0.31,2.25,1.853,2.475
PBK,0.72,-11.8,89.3,42.8,4.6,9.2,-3.3,0.08,0.72,0.688,0.792
FBYD,16.03,-7.1,15.6,28.6,1.4,20.0,-7.4,0.4,16.03,14.162,17.633
LCUT,7.615,-9.5,21.5,21.9,1.1,19.3,-8.3,0.11,7.615,7.256,8.376
ORMP,4.67,-6.4,20.4,19.8,1.3,15.6,8.6,0.36,4.67,4.287,5.137
LYEL,11.61,-6.2,10.2,19.7,2.1,9.4,-10.7,0.12,11.61,11.126,12.771
HYPR,1.47,-10.9,17.9,16.1,2.0,8.0,0.7,0.1,1.47,1.406,1.617
NAUT,2.0,-10.3,19.6,15.4,1.0,16.2,-15.3,0.35,2.0,1.814,2.2
SLQT,0.8237,-7.4,10.5,14.9,1.4,10.7,-13.2,0.02,0.824,0.797,0.906
JYNT,8.52,-7.6,24.2,12.7,0.9,14.4,-9.0,0.18,8.52,8.099,9.372
VIRC,6.22,-6.5,25.7,9.3,0.4,25.2,-7.9,0.13,6.22,5.956,6.842
SCAG,0.4545,-7.2,68.1,9.0,8.6,1.1,-36.0,0.47,0.454,0.394,0.5
NEXR,0.806,-11.7,21.1,8.7,36.3,0.2,43.3,0.21,0.806,0.737,0.887
AARD,4.79,-7.0,14.8,8.0,0.7,12.1,-3.4,0.18,4.79,4.491,5.269
PNBK,0.9592,-8.6,23.3,7.5,0.4,19.2,-11.2,0.04,0.959,0.927,1.055
AEYE,5.59,-7.5,17.2,7.5,0.6,13.5,-8.8,0.09,5.59,5.364,6.149
HFFG,1.65,-8.8,33.5,7.1,0.3,22.8,-6.8,0.09,1.65,1.581,1.815
LNSR,5.63,-7.7,17.2,6.5,0.4,16.6,-7.1,0.0,5.63,5.461,6.193
CSPI,8.05,-8.9,16.0,6.0,0.3,17.9,-12.0,0.02,8.05,7.789,8.855
BTMD,1.79,-9.1,15.1,5.8,0.5,11.1,-14.8,0.06,1.79,1.717,1.969
GAIA,2.08,-5.5,14.1,5.7,0.4,15.1,-11.9,0.12,2.08,1.979,2.288
FSP,0.51,-5.7,13.0,5.4,0.5,11.5,-4.9,0.0,0.51,0.495,0.561
CLPR,2.81,-8.2,31.5,5.2,0.2,26.3,-9.1,0.1,2.81,2.697,3.091
EP,2.61,-5.4,14.0,4.5,0.3,12.9,-4.0,0.0,2.61,2.532,2.871
FTLF,11.08,-6.9,12.5,4.1,0.3,12.3,-7.0,0.24,11.08,10.457,12.188
ISPR,1.5,-9.6,17.7,2.7,0.2,13.0,-17.6,0.0,1.5,1.455,1.65
SIEB,1.7,-12.8,57.8,2.6,0.1,39.3,-10.1,0.0,1.7,1.649,1.87
KG,9.52,-14.5,38.2,2.6,0.1,22.0,-12.3,0.0,9.52,9.23,10.472
