sig_date,trade_date,n,close_avg_%,close_win_%,plan_avg_%
2026-03-18,2026-03-19,6,2.0,83.0,4.0
2026-03-19,2026-03-20,6,-3.6,17.0,-0.9
2026-03-20,2026-03-23,9,3.6,78.0,0.6
2026-03-23,2026-03-24,3,-1.8,67.0,0.7
2026-03-24,2026-03-25,7,-0.1,57.0,-0.7
2026-03-25,2026-03-26,6,-8.1,33.0,-1.8
2026-03-26,2026-03-27,1,-1.1,0.0,-1.1
2026-03-27,2026-03-30,2,-7.5,0.0,1.0
2026-03-30,2026-03-31,5,4.4,60.0,-2.5
2026-03-31,2026-04-01,4,-8.1,0.0,-7.5
2026-04-01,2026-04-02,1,6.3,100.0,10.0
2026-04-02,2026-04-06,3,1.3,67.0,-2.0
2026-04-06,2026-04-07,4,0.1,25.0,-1.9
2026-04-07,2026-04-08,9,9.7,56.0,0.3
2026-04-08,2026-04-09,3,3.1,67.0,6.0
2026-04-09,2026-04-10,4,-23.6,0.0,-8.0
2026-04-10,2026-04-13,5,-1.4,40.0,-2.7
2026-04-13,2026-04-14,5,26.8,60.0,3.3
2026-04-14,2026-04-15,9,-0.2,44.0,-0.9
2026-04-15,2026-04-16,11,4.4,55.0,1.4
2026-04-16,2026-04-17,7,-3.4,14.0,-5.8
2026-04-17,2026-04-20,12,-0.2,25.0,0.1
2026-04-20,2026-04-21,12,-4.8,17.0,-5.7
2026-04-21,2026-04-22,6,-4.4,17.0,-4.1
2026-04-22,2026-04-23,4,-2.5,25.0,-3.5
2026-04-23,2026-04-24,2,-2.1,0.0,-2.1
2026-04-24,2026-04-27,8,1.7,50.0,-0.7
2026-04-27,2026-04-28,5,6.1,100.0,8.7
2026-04-28,2026-04-29,9,-3.0,22.0,-3.7
2026-04-29,2026-04-30,6,4.2,83.0,-0.4
2026-04-30,2026-05-01,8,-1.3,38.0,-0.5
2026-05-01,2026-05-04,6,2.4,67.0,1.9
2026-05-04,2026-05-05,8,5.1,75.0,3.1
2026-05-05,2026-05-06,7,-0.0,43.0,-0.8
2026-05-06,2026-05-07,10,-0.5,60.0,0.9
2026-05-07,2026-05-08,5,7.0,40.0,-2.0
2026-05-08,2026-05-11,7,7.2,29.0,-1.6
2026-05-11,2026-05-12,8,-3.4,38.0,-2.3
2026-05-12,2026-05-13,10,15.4,60.0,3.0
2026-05-13,2026-05-14,6,-0.1,33.0,-1.0
2026-05-14,2026-05-15,6,-0.6,50.0,-2.7
2026-05-15,2026-05-18,5,1.4,60.0,-8.0
2026-05-18,2026-05-19,2,-1.3,50.0,1.0
2026-05-19,2026-05-20,4,31.3,50.0,1.0
2026-05-20,2026-05-21,3,-4.3,0.0,-8.0
2026-05-21,2026-05-22,1,7.4,100.0,10.0
2026-05-22,2026-05-26,9,0.1,22.0,-4.1
2026-05-26,2026-05-27,4,15.7,75.0,1.0
2026-05-27,2026-05-28,12,1.7,42.0,1.1
2026-05-28,2026-05-29,8,-3.3,38.0,0.7
2026-05-29,2026-06-01,10,-0.2,40.0,-3.3
2026-06-01,2026-06-02,10,8.7,90.0,4.2
2026-06-02,2026-06-03,6,13.6,67.0,4.0
2026-06-03,2026-06-04,10,0.3,40.0,-0.2
2026-06-04,2026-06-05,3,-0.3,33.0,4.0
2026-06-05,2026-06-08,11,-6.3,36.0,0.2
2026-06-08,2026-06-09,9,4.2,78.0,6.0
2026-06-09,2026-06-10,10,30.4,100.0,6.2
2026-06-10,2026-06-11,6,1.7,83.0,1.0
2026-06-11,2026-06-12,10,-7.8,40.0,-0.5
2026-06-12,2026-06-15,6,0.4,50.0,-1.6
