ticker,ratio,latest_close,candle_signal,candle_pos,close_pos,intraday_chg_%,매수참고,손절,익절목표
OBAI,1567.1,1.11,강한매수,전고점돌파,0.63,22.4,1.11,1.021,1.221
ZVZZT,200.8,18.53,매수관심,잔구간,1.0,53.1,18.53,17.048,20.383
MCRP,114.8,2.08,매수관심,완만한상승,0.61,3.5,2.08,1.914,2.288
MYSE,82.4,2.3,강한매수,전고점돌파,0.71,12.2,2.3,2.116,2.53
TRNR,80.2,0.722,매수관심,잔구간,0.61,37.2,0.722,0.664,0.794
FTHM,54.9,0.633,강한매수,전고점돌파,0.56,32.2,0.633,0.582,0.696
ALBT,51.1,0.311,매수관심,전저점부근,0.56,1.3,0.311,0.286,0.342
NMRA,37.9,1.56,강한매수,완만한상승,0.96,64.2,1.56,1.435,1.716
ORKT,34.8,1.3,매수관심,완만한상승,0.63,10.2,1.3,1.196,1.43
RTB,9.9,9.37,강한매수,전고점돌파,0.72,54.1,9.37,8.62,10.307
HQ,9.1,18.7,강한매수,전고점돌파,0.6,7.1,18.7,17.204,20.57
VNCE,9.0,6.95,강한매수,전고점돌파,0.89,39.3,6.95,6.394,7.645
CMTL,8.7,2.99,매수관심,완만한상승,0.79,6.0,2.99,2.751,3.289
WBX,8.0,3.95,강한매수,전고점돌파,0.96,42.6,3.95,3.634,4.345
VTGN,7.3,0.69,강한매수,전고점돌파,0.89,19.0,0.69,0.635,0.759
