ticker,poly_ratio,yahoo_ratio,vol_dev_%,channels,premkt_px,premkt_chg_%,finnhub_px,finnhub_chg_%,verdict,reason
CAST,607.1,667.9,0.4,2,3.75,166.0,,,✅ CONFIRMED,2채널 일치
CUPR,343.8,406.2,0.3,2,8.41,148.8,,,✅ CONFIRMED,2채널 일치
CTM,272.3,264.6,0.2,2,0.716,-0.5,,,✅ CONFIRMED,2채널 일치
HLP,245.3,435.9,0.4,2,0.531,2.1,,,✅ CONFIRMED,2채널 일치
WLDS,213.3,191.1,0.4,2,0.987,22.5,,,✅ CONFIRMED,2채널 일치
PRFX,187.9,140.2,0.6,2,2.49,88.6,,,✅ CONFIRMED,2채널 일치
AHMA,109.4,135.0,0.2,2,1.93,43.0,,,✅ CONFIRMED,2채널 일치
NIXX,102.5,99.0,0.2,2,0.875,-3.5,,,✅ CONFIRMED,2채널 일치
CRVO,98.1,2.7,96.6,2,2.48,-0.4,,,⚠ CHECK,Yahoo 배율 3x (기준 미달)
ELTX,67.0,66.2,0.3,2,4.08,-71.9,,,✅ CONFIRMED,2채널 일치
AIDX,61.0,67.4,3.8,2,0.596,-25.5,,,✅ CONFIRMED,2채널 일치
MYSZ,48.0,47.1,1.3,2,0.459,9.3,,,✅ CONFIRMED,2채널 일치
IVDA,46.5,4.4,82.8,2,0.316,9.0,,,⚠ CHECK,Yahoo 배율 4x (기준 미달)
RGNT,41.4,59.0,1.9,2,9.4,539.4,,,✅ CONFIRMED,2채널 일치
HQ,36.0,31.6,0.3,2,17.82,62.9,,,✅ CONFIRMED,2채널 일치
CNTX,34.7,34.4,0.8,2,0.679,-50.8,,,✅ CONFIRMED,2채널 일치
DXST,34.6,26.9,0.4,2,2.7,6.7,,,✅ CONFIRMED,2채널 일치
UBXG,25.2,26.1,0.2,2,9.7,24.0,,,✅ CONFIRMED,2채널 일치
NMRA,23.6,24.6,0.0,2,0.914,-49.8,,,✅ CONFIRMED,2채널 일치
FA,22.1,21.4,0.0,2,16.99,3.5,,,✅ CONFIRMED,2채널 일치
ZNB,18.2,15.0,50.1,2,0.952,1.5,,,⚠ CHECK,거래량 편차 50%
NNDM,17.9,19.1,0.1,2,1.25,-17.8,,,✅ CONFIRMED,2채널 일치
CMTL,17.6,17.5,0.6,2,2.755,-44.0,,,✅ CONFIRMED,2채널 일치
SABS,17.1,17.1,0.0,2,3.9,10.5,,,✅ CONFIRMED,2채널 일치
HUBC,16.5,13.4,0.8,2,1.68,37.7,,,✅ CONFIRMED,2채널 일치
